Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
159,Jeanne du Barry,-,-,-,"$150,955",142,"$150,955",Sep 22,Notorious Pictures,false
160,Monster,-,-,-,"$147,042",71,"$147,785",Sep 29,Vértigo Films,false
161,Whitney Houston: I Wanna Dance with Somebody,-,-,-,"$144,982",334,"$512,023",Dec 23,Sony Pictures Releasing,false
162,Cairo Conspiracy,-,-,-,"$141,870",55,"$141,870",Apr 14,-,false
163,Asedio,-,-,-,"$141,748",193,"$141,748",May 5,Sony Pictures Releasing,false
164,The Enchanted,-,-,-,"$129,844",41,"$130,227",Jun 2,A Contracorriente Films,false
165,She Said,-,-,-,"$128,869",167,"$210,891",Dec 30,Universal Pictures International (UPI),false
166,Till,-,-,-,"$125,881",87,"$125,881",Feb 24,Universal Pictures International (UPI),false
167,El mestre que va prometre el mar,-,-,-,"$123,745",82,"$124,498",Nov 10,Filmax,false
168,Let the Dance Begin,-,-,-,"$119,809",29,"$126,154",Apr 7,-,false
169,Rally Road Racers,-,-,-,"$116,952",204,"$117,058",Jul 28,Vértigo Films,false
170,Driving Madeleine,-,-,-,"$116,876",85,"$117,242",Mar 24,A Contracorriente Films,false
171,Upon Entry,-,-,-,"$116,830",50,"$116,842",Jun 16,Karma Films,false
172,Tin & Tina,-,-,-,"$112,392",148,"$112,450",Mar 31,Filmax,false
173,The Portable Door,-,-,-,"$111,284",230,"$111,293",Jun 23,DeAPlaneta,false
174,Un cel de plom,-,-,-,"$110,656",57,"$110,656",Apr 28,Filmax,false
175,In the Company of Women,-,-,-,"$107,681",56,"$108,979",May 5,Filmax,false
176,De Caperucita a loba,-,-,-,"$106,931",207,"$136,304",Apr 7,A Contracorriente Films,false
177,La sirvienta,-,-,-,"$106,084",38,"$108,288",Mar 24,-,false
178,The Blue Caftan,-,-,-,"$104,963",52,"$105,494",Mar 10,Karma Films,false
179,Sisu,-,-,-,"$104,247",62,"$104,247",Apr 28,Sony Pictures Entertainment (SPE),false
180,The Burning Cold,-,-,-,"$100,685",44,"$100,772",Jan 20,Filmax,false
181,The Estate,-,-,-,"$100,541",156,"$100,561",Jan 20,DeAPlaneta,false
182,Return to Dust,-,-,-,"$98,735",28,"$99,523",Jul 14,BTeam Pictures,false
183,Goodbye Monster,-,-,-,"$97,863",200,"$97,878",Feb 10,Cinemaran Spain,false
184,How to Save the Immortal,-,-,-,"$97,084",146,"$97,138",Aug 11,Cinemaran Spain,false
185,Little Bird: The Big Quest,-,-,-,"$96,844",144,"$96,918",Sep 15,Vértigo Films,false
186,Rise,-,-,-,"$95,352",56,"$95,391",Mar 17,Wanda Visión S.A.,false
