Rank_World,Rank_Spain,Title,Gross_Spain,Total Gross,Release Date,Distributor,Gross_World,Domestic,%,Foreign,%.1,Ratio
121,159,Jeanne du Barry,150955,"$150,955",Sep 22,Notorious Pictures,13365258,-,-,"$13,365,258",100%,0.011294581818024015
11,23,John Wick: Chapter 4,4692007,"$4,704,335",Mar 24,Sun Distribution,440146694,"$187,131,806",42.5%,"$253,014,888",57.5%,0.010660098244427572
19,42,Sound of Freedom,2578289,"$2,955,535",Oct 13,A Contracorriente Films,244690364,"$184,173,171",75.3%,"$60,517,193",24.7%,0.010536945378037036
30,61,Shazam! Fury of the Gods,1402279,"$1,402,279",Mar 17,Warner Bros.,133838006,"$57,638,006",43.1%,"$76,200,000",56.9%,0.01047743493727783
43,83,Cocaine Bear,851679,"$851,679",Mar 31,Universal Pictures International (UPI),88030527,"$64,388,510",73.1%,"$23,642,017",26.9%,0.009674814283458738
59,100,Missing,468694,"$468,694",Feb 24,Sony Pictures Releasing,48767848,"$32,502,025",66.6%,"$16,265,823",33.4%,0.009610717290621476
144,190,All Your Faces,86899,"$86,925",Sep 8,-,9056053,-,-,"$9,056,053",100%,0.00959568147403731
77,127,Book Club: The Next Chapter,275752,"$275,752",May 12,Universal Pictures International (UPI),28978431,"$17,556,340",60.6%,"$11,422,091",39.4%,0.009515767088977315
96,154,About My Father,172209,"$172,209",Jun 9,Sun Distribution,18167819,"$12,089,391",66.5%,"$6,078,428",33.5%,0.009478793244252378
53,98,Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,499220,"$605,569",Mar 3,Sony Pictures Releasing,56119404,"$10,117,806",18%,"$46,001,598",82%,0.008895675371035658
27,62,The Marvels,1379499,"$1,656,391",Nov 10,Walt Disney Studios Motion Pictures,161324806,"$65,024,806",40.3%,"$96,300,000",59.7%,0.008551065606116397
20,52,Taylor Swift: The Eras Tour,1908537,"$1,908,537",Oct 13,-,244231447,"$175,313,432",71.8%,"$68,918,015",28.2%,0.007814460518673502
12,35,Transformers: Rise of the Beasts,3374207,"$3,374,207",Jun 9,Paramount Pictures,438966392,"$157,066,392",35.8%,"$281,900,000",64.2%,0.007686709191167419
114,179,Sisu,104247,"$104,247",Apr 28,Sony Pictures Entertainment (SPE),14281199,"$7,265,622",50.9%,"$7,015,577",49.1%,0.007299597183681846
